Year,Type,Title,Detail,Link
2026,group,Gifts of Friendship,"Sztuki (Museum of Art), Łódź, Poland",#
2025,group,Mar 01,"Casarão de Manguinhos, Espirito Santo, Brasil",#
2025,publications,Power Line,"MFA Thesis, Yale School of Art",#
2025,writing,Ways of Seeing Critique,School of the Art Institute of Chicago,#
2025,sound,Cacti,"Sound work, 3 min",#
2024,solo,"Repara aí, mana!","Casa das Onze Janelas, Belém, Brazil",#
2024–Now,code,ChromaStack,Active Protocol / Repository,http://chromastack.com
2019–2024,founding,ortvi,Art streaming platform / distribution model,http://ortvi.com
2023,publications,Art from the End of the World,Editor — Roberto Jacoby monograph,#
2022,film,Ñande Róga,"Video, B&W, sound, 15 min",#
2022,other,Roberto Jacoby Archives,Eight months of research for book project,#
2020,writing,Double Unbinding,Nicolas Guagnini: Theater of the Self,#
2020,other,Feliciano Centurión Archives,Research for ISLAA / Film project,#
2019,group,Absolute Threshold,"Galerie Franchesca Pia, Zurich",#
2018,solo,Milchhof Diagram,"Kunstverein Nürnberg, Germany",#
2018,group,A Fatal Attraction,"Galerie Barbara Weiss, Berlin",#
2017,solo,Bispando,"Museu Bispo do Rosario, Rio de Janeiro, Brazil",#
2016,solo,Situational Diagram,"Dominique Lévy Gallery, New York",#
2015,solo,Union Gaucha Productions Survey,"Artists Space, New York",#
2010–2014,founding,Cage,Social interaction space co-founder,#
2010,code,permutation384.com,Web Project,http://permutation384.com
2009,code,maniacviciouscircles.com,Web Project,http://maniacviciouscircles.com
2005–2008,founding,Orchard Gallery,Co-operatively organized exhibition space,#
1997–Now,founding,Union Gaucha Productions (UGP),Experimental film company,#
1997/98,film,Phantom Limb,"16 mm, B&W, 22 minutes",#
1988,solo,Objetos,"Casa de Cultura Mário Quintana, Brazil",#
1987,film,Membro Fantasma,"SOCINE, MAM, Rio de Janeiro",#
Ongoing,other,IDONOTHAVETRADEMARK,Systemic Intervention,#
Permanent,collections,Whitney Museum of American Art,"New York, USA",#
Permanent,collections,Centre Georges Pompidou,"Paris, France",#
Permanent,collections,Muzeum Sztuki,"Łódź, Poland",#
Permanent,collections,Museum of Modern Art (MoMA),"São Paulo, Brazil",#
Permanent,collections,Museo Moderno,"Buenos Aires, Argentina",#
Permanent,collections,Museum of Modern and Contemporary Art,"Rijeka, Croatia",#